Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
EWZ,24.63,Call,25.5,5/1/2020,3,0.23,0.24,0.24,0.23,14602,234,62.4,61.80%,16:00 ET
IWM,129.95,Put,130,5/1/2020,3,2.36,2.38,2.4,2.43,12176,255,47.75,52.97%,15:51 ET
IWM,129.95,Put,129,5/1/2020,3,1.92,1.94,1.96,1.9,4393,105,41.84,51.66%,15:45 ET
XBI,96.09,Put,74,06/19/20,52,0.71,0.74,0.76,0.74,7572,183,41.38,53.30%,15:36 ET
XRT,36.98,Put,36,06/19/20,52,2.05,2.09,2.12,2.08,15080,390,38.67,47.51%,15:50 ET
XLP,59.43,Put,58.5,5/8/2020,10,0.51,0.53,0.54,0.53,8997,233,38.61,24.32%,15:35 ET
XLU,59.26,Call,60.5,05/15/20,17,0.73,0.76,0.78,0.81,5249,158,33.22,25.51%,14:25 ET
XLU,59.26,Put,58.5,05/22/20,24,1.37,1.43,1.49,1.36,4123,125,32.98,29.02%,12:15 ET
GLD,160.13,Call,162,05/22/20,24,2.66,2.69,2.71,2.65,5800,192,30.21,20.33%,15:39 ET
SPY,287.33,Put,290,04/29/20,1,3.55,3.57,3.59,3.55,50960,1793,28.42,35.72%,15:52 ET
VOO,264.08,Call,280,05/15/20,17,0.7,0.77,0.85,0.85,5038,202,24.94,23.11%,15:54 ET
IWM,129.95,Call,145,08/21/20,115,3.11,3.16,3.21,3.26,6506,262,24.83,27.99%,14:45 ET
GDX,33.58,Put,31,05/22/20,24,0.78,0.8,0.81,0.81,5036,224,22.48,56.35%,15:33 ET
GLD,160.13,Call,190,12/18/20,234,4.2,4.28,4.35,4.37,2532,132,19.18,25.63%,14:08 ET
XRT,36.98,Put,36,05/15/20,17,1.07,1.1,1.12,1.1,2176,114,19.09,50.47%,15:47 ET
EFA,56.57,Call,57,06/30/20,63,1.78,1.9,2.03,1.88,9835,620,15.86,21.39%,15:11 ET
SPY,287.33,Call,289,04/29/20,1,1.13,1.14,1.15,1.16,51740,3533,14.64,29.32%,15:53 ET
GLD,160.13,Call,165,12/18/20,234,9.8,9.9,10,10.13,2502,173,14.46,22.67%,14:08 ET
EWZ,24.63,Call,25,5/1/2020,3,0.4,0.41,0.42,0.4,18115,1269,14.28,62.94%,16:01 ET
XLF,22.89,Put,20.5,05/15/20,17,0.2,0.21,0.21,0.21,16786,1183,14.19,52.39%,16:00 ET
SPY,287.33,Put,288,04/29/20,1,2.29,2.3,2.32,2.19,50041,3605,13.88,33.18%,15:53 ET
IWM,129.95,Put,130,5/8/2020,10,3.65,3.68,3.7,3.63,2327,174,13.37,43.18%,15:53 ET
TZA,34.68,Put,40,5/1/2020,3,5.35,5.7,6.05,5.9,1803,137,13.16,159.60%,15:02 ET
SPY,287.33,Put,286,04/29/20,1,1.39,1.4,1.42,1.33,65636,5007,13.11,34.04%,15:53 ET
SPY,287.33,Put,291,04/29/20,1,4.29,4.33,4.36,4.36,13740,1055,13.02,37.79%,15:51 ET
SPY,287.33,Put,285,04/29/20,1,1.07,1.08,1.08,1.03,118609,9239,12.84,34.84%,15:53 ET
SPY,287.33,Put,275,5/6/2020,8,1.56,1.58,1.6,1.56,13546,1083,12.51,35.14%,15:53 ET
SPY,287.33,Put,287,04/29/20,1,1.73,1.75,1.76,1.73,79307,6435,12.32,33.75%,15:53 ET
SPY,287.33,Put,293,04/29/20,1,5.97,6.01,6.05,5.95,3096,268,11.55,38.59%,15:53 ET
SPY,287.33,Call,291,04/29/20,1,0.54,0.55,0.56,0.57,54766,4745,11.54,29.30%,15:53 ET
GLD,160.13,Put,158,5/8/2020,10,1.18,1.19,1.21,1.28,7070,621,11.38,21.77%,15:38 ET
SPY,287.33,Put,270,5/6/2020,8,0.97,0.99,1,0.96,13551,1204,11.25,37.34%,15:53 ET
SPY,287.33,Put,289,04/29/20,1,2.78,2.8,2.82,2.83,23179,2177,10.65,34.34%,15:53 ET
TNA,22.49,Call,25,06/19/20,52,2.26,2.3,2.35,2.31,1459,138,10.57,94.88%,15:17 ET
KRE,37.9,Call,56,01/15/21,262,0.25,0.29,0.33,0.3,3010,296,10.17,29.16%,14:34 ET
