Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
IWM,136.33,Put,102.00,09/18/20,142,2.68,2.71,2.73,2.60,15000,107,140.19,45.42%,"15:43 ET"
SPY,294.54,Put,294.00,05/01/20,2,2.83,2.85,2.87,2.83,23385,209,111.89,32.54%,"16:11 ET"
SPY,294.54,Put,293.00,04/29/20,0,0.20,0.21,0.21,0.27,108852,976,111.53,0.00%,"16:11 ET"
SPY,294.54,Put,292.00,04/29/20,0,0.08,0.08,0.09,0.10,133631,1268,105.39,0.00%,"16:11 ET"
XLF,23.51,Call,27.00,09/18/20,142,0.60,0.61,0.61,0.60,52037,515,101.04,28.55%,"16:04 ET"
EEM,37.47,Put,34.00,07/17/20,79,0.93,0.95,0.97,1.00,10008,100,100.08,35.56%,"15:10 ET"
SPY,294.54,Put,294.00,04/29/20,0,0.60,0.62,0.64,0.80,77637,887,87.53,0.00%,"16:11 ET"
GLD,161.68,Put,130.00,03/19/21,324,2.35,2.48,2.61,2.66,10002,139,71.96,24.01%,"11:50 ET"
SPY,294.54,Put,292.50,05/01/20,2,2.07,2.09,2.10,2.15,11465,165,69.48,32.71%,"16:11 ET"
EFA,57.94,Call,58.00,05/29/20,30,1.41,1.44,1.48,1.40,10858,157,69.16,21.15%,"14:54 ET"
SPY,294.54,Put,291.00,05/04/20,5,2.39,2.41,2.43,2.39,10519,158,66.58,27.13%,"16:11 ET"
IWM,136.33,Put,122.00,09/18/20,142,6.67,6.71,6.74,6.54,15002,232,64.66,39.09%,"15:52 ET"
SPY,294.54,Put,295.00,04/29/20,0,1.69,1.71,1.72,1.66,24905,411,60.6,0.00%,"16:11 ET"
XLY,117.82,Put,115.00,05/15/20,16,1.92,1.96,2.00,1.98,8354,164,50.94,32.41%,"16:02 ET"
SPY,294.54,Put,293.00,05/01/20,2,2.27,2.29,2.30,2.37,48395,1060,45.66,32.74%,"16:11 ET"
XLE,38.85,Put,35.00,05/08/20,9,0.26,0.27,0.28,0.26,21256,503,42.26,61.81%,"15:47 ET"
VXX,36.53,Put,35.00,07/17/20,79,5.30,5.35,5.40,5.35,95256,2587,36.82,92.86%,"15:51 ET"
IWM,136.33,Call,154.00,06/19/20,51,0.79,0.8,0.82,0.92,16173,463,34.93,28.28%,"16:02 ET"
IWM,136.33,Put,135.00,05/01/20,2,1.86,1.88,1.90,1.94,4420,143,30.91,59.50%,"16:12 ET"
