Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
HYG,78.57,Call,82.00,07/17/20,74,1.00,1,1.00,1.00,89605,163,549.72,15.64%,05/04/20
SPY,283.57,Call,281.00,05/04/20,0,1.86,1.9,1.94,1.81,59708,620,96.3,0.00%,05/04/20
GDX,33.99,Call,47.00,09/18/20,137,1.20,1.26,1.32,1.25,20875,301,69.35,55.40%,05/04/20
XLF,21.86,Put,18.00,12/18/20,228,1.24,1.32,1.39,1.33,30006,951,31.55,46.80%,05/04/20
SPY,283.57,Call,286.00,05/06/20,2,1.27,1.29,1.30,1.28,35547,1236,28.76,27.18%,05/04/20
SPY,283.57,Call,282.00,05/04/20,0,0.91,0.95,0.98,0.99,96968,3394,28.57,0.00%,05/04/20
SPY,283.57,Call,283.00,05/04/20,0,0.12,0.14,0.15,0.12,86820,3064,28.34,0.00%,05/04/20
SH,24.73,Call,30.00,06/19/20,46,0.30,0.32,0.35,0.32,11387,426,26.73,48.84%,05/04/20
LQD,128.54,Call,132.00,12/18/20,228,1.35,2.08,2.80,1.99,5214,200,26.07,7.43%,05/04/20
SPY,283.57,Call,282.00,05/06/20,2,3.16,3.19,3.21,3.17,27310,1068,25.57,27.40%,05/04/20
ASHR,26.14,Put,22.71,01/15/21,256,0.95,1.09,1.23,1.23,3510,140,25.07,32.92%,05/04/20
IWM,125.68,Put,112.00,12/18/20,228,9.50,9.59,9.69,9.99,6507,277,23.49,43.80%,05/04/20
SPY,283.57,Call,280.00,05/04/20,0,2.85,2.9,2.94,2.81,41674,1885,22.11,0.00%,05/04/20
EMB,99.69,Put,100.00,01/21/22,627,13.30,14.05,14.80,13.70,4834,219,22.07,28.48%,05/04/20
SPY,283.57,Call,278.00,05/04/20,0,4.86,4.91,4.96,4.90,10204,472,21.62,0.00%,05/04/20
SPY,283.57,Call,283.00,05/06/20,2,2.59,2.62,2.65,2.59,22938,1185,19.36,27.29%,05/04/20
XLI,61.48,Put,35.00,01/15/21,256,0.67,0.99,1.31,0.97,5000,259,19.31,53.49%,05/04/20
EWZ,23.88,Put,22.50,05/08/20,4,0.30,0.34,0.38,0.39,11382,600,18.97,95.18%,05/04/20
IWM,125.68,Put,127.00,07/17/20,74,9.91,9.96,10.01,10.18,5289,298,17.75,42.77%,05/04/20
XLI,61.48,Put,40.00,01/15/21,256,1.11,1.52,1.93,1.57,5000,284,17.61,50.23%,05/04/20
SPY,283.57,Put,281.00,05/06/20,2,1.91,1.93,1.95,1.92,24650,1443,17.08,36.48%,05/04/20
SOXS,10.45,Call,50.00,08/21/20,109,0.55,0.7,0.85,0.75,1704,101,16.87,198.59%,05/04/20
XLF,21.86,Call,27.00,12/18/20,228,0.41,0.53,0.64,0.59,30003,1834,16.36,29.41%,05/04/20
EEM,35.7,Put,35.00,05/22/20,18,0.81,0.89,0.97,1.01,10020,669,14.98,42.83%,05/04/20
SPY,283.57,Call,279.00,05/04/20,0,3.85,3.91,3.96,3.91,13928,937,14.86,0.00%,05/04/20
QQQ,215.22,Call,213.00,05/08/20,4,4.10,4.15,4.19,4.17,26456,1800,14.7,32.52%,05/04/20
EFA,55.32,Put,53.50,06/12/20,39,1.26,1.55,1.83,1.56,2487,174,14.29,33.70%,05/04/20
SPY,283.57,Put,283.00,05/04/20,0,0.21,0.23,0.25,0.26,64339,4583,14.04,0.00%,05/04/20
SPY,283.57,Call,281.00,05/06/20,2,3.80,3.82,3.84,3.86,14430,1030,14.01,28.08%,05/04/20
IWM,125.68,Put,121.00,05/22/20,18,3.58,3.62,3.65,3.45,1683,122,13.8,50.42%,05/04/20
SPY,283.57,Call,280.00,05/06/20,2,4.48,4.51,4.53,4.45,16845,1265,13.32,26.51%,05/04/20
SPY,283.57,Put,279.00,05/06/20,2,1.33,1.35,1.36,1.35,18139,1422,12.76,37.60%,05/04/20
USO,19.67,Put,18.00,06/19/20,46,1.55,1.6,1.65,1.65,3643,290,12.56,90.67%,05/04/20
GDX,33.99,Put,32.00,09/18/20,137,3.25,3.38,3.50,3.30,2409,197,12.23,53.54%,05/04/20
GDX,33.99,Call,38.00,08/21/20,109,2.45,2.49,2.52,2.52,2531,224,11.3,53.49%,05/04/20
USO,19.67,Call,21.00,05/08/20,4,0.33,0.37,0.40,0.37,11126,996,11.17,103.56%,05/04/20
XLE,37.09,Call,36.50,05/08/20,4,1.27,1.39,1.51,1.21,3953,358,11.04,57.32%,05/04/20
TNA,19.97,Put,15.50,05/08/20,4,0.11,0.17,0.23,0.17,1099,100,10.99,190.76%,05/04/20
LQD,128.54,Put,126.00,06/19/20,46,1.20,1.53,1.85,1.30,7164,655,10.94,13.49%,05/04/20
SPY,283.57,Call,284.00,05/06/20,2,2.09,2.11,2.13,2.13,15497,1426,10.87,27.79%,05/04/20
PSQ,22.08,Call,23.00,06/19/20,46,0.75,0.8,0.85,0.85,1205,113,10.66,38.97%,05/04/20
FXI,37.62,Call,36.00,06/19/20,46,2.69,2.72,2.76,2.56,3265,323,10.11,30.37%,05/04/20
UCO,14.99,Put,14.00,05/15/20,11,1.25,1.33,1.41,1.52,1060,106,10,198.12%,05/04/20
GLD,160.34,Put,165.00,09/18/20,137,11.45,11.55,11.65,11.60,3971,424,9.37,24.09%,05/04/20
DXD,23.4,Put,24.00,05/15/20,11,1.50,1.6,1.70,1.40,1526,168,9.08,65.79%,05/04/20
SPY,283.57,Call,279.00,05/06/20,2,5.21,5.24,5.27,5.19,3240,395,8.2,26.05%,05/04/20
QQQ,215.22,Put,195.00,05/22/20,18,1.58,1.6,1.61,1.60,7556,921,8.2,43.86%,05/04/20
GDX,33.99,Call,50.00,08/21/20,109,0.61,0.65,0.68,0.66,1355,168,8.07,56.64%,05/04/20
SPY,283.57,Call,296.00,05/27/20,23,2.30,2.33,2.36,2.56,1002,125,8.02,24.27%,05/04/20
DIA,237.42,Put,100.00,12/18/20,228,0.65,0.69,0.73,0.73,1317,165,7.98,57.68%,05/04/20
SPY,283.57,Call,287.00,05/06/20,2,0.96,0.97,0.98,0.96,16118,2030,7.94,26.93%,05/04/20
SPY,283.57,Call,277.00,05/04/20,0,5.86,5.91,5.95,6.53,5701,722,7.9,0.00%,05/04/20
QQQ,215.22,Call,260.00,12/18/20,228,3.54,3.68,3.82,3.52,5625,714,7.88,22.85%,05/04/20
SPY,283.57,Put,284.00,05/04/20,0,1.09,1.14,1.18,1.16,29842,3925,7.6,0.00%,05/04/20
GDX,33.99,Put,32.00,05/08/20,4,0.20,0.22,0.24,0.23,16590,2219,7.48,65.00%,05/04/20
TLT,167.16,Call,200.00,07/17/20,74,0.45,0.49,0.52,0.53,3612,485,7.45,25.19%,05/04/20
SPY,283.57,Call,292.00,05/18/20,14,2.28,2.29,2.29,2.48,5451,743,7.34,25.31%,05/04/20
IWM,125.68,Call,140.00,11/20/20,200,6.09,6.19,6.28,5.85,1520,216,7.04,28.96%,05/04/20
QQQ,215.22,Put,170.00,07/17/20,74,2.67,2.69,2.71,2.69,72764,10369,7.02,47.38%,05/04/20
FAS,26.35,Put,10.00,09/18/20,137,0.91,0.98,1.05,0.98,2160,310,6.97,147.38%,05/04/20
LQD,128.54,Put,120.00,09/18/20,137,1.30,1.53,1.75,1.40,14592,2119,6.89,15.15%,05/04/20
GLD,160.34,Call,167.00,07/17/20,74,3.80,3.88,3.95,4.00,2067,305,6.78,22.68%,05/04/20
QQQ,215.22,Put,210.00,05/22/20,18,4.62,4.65,4.67,4.52,9143,1361,6.72,36.48%,05/04/20
UPRO,35.23,Call,37.00,05/08/20,4,0.60,0.7,0.80,0.60,906,138,6.57,85.96%,05/04/20
UVXY,45.98,Put,47.00,05/08/20,4,3.10,3.68,4.25,3.65,1007,157,6.41,160.76%,05/04/20
QQQ,215.22,Put,211.00,05/08/20,4,1.78,1.79,1.80,1.78,10299,1616,6.37,39.36%,05/04/20
SPY,283.57,Call,281.00,05/08/20,4,5.05,5.08,5.11,5.12,11928,1925,6.2,31.12%,05/04/20
SPY,283.57,Call,288.00,05/06/20,2,0.70,0.71,0.71,0.70,8544,1394,6.13,26.66%,05/04/20
SPY,283.57,Call,298.00,08/21/20,109,10.23,10.28,10.32,10.51,640,105,6.1,25.79%,05/04/20
IWM,125.68,Put,123.00,05/22/20,18,4.27,4.31,4.35,4.25,1746,288,6.06,50.15%,05/04/20
USO,19.67,Call,21.50,05/08/20,4,0.24,0.26,0.27,0.27,815,136,5.99,105.38%,05/04/20
SPY,283.57,Put,281.00,05/11/20,7,3.82,3.86,3.89,3.76,4599,771,5.96,31.87%,05/04/20
SPY,283.57,Put,267.00,05/18/20,14,2.57,2.6,2.63,2.51,2715,462,5.88,38.76%,05/04/20
SPY,283.57,Put,280.00,05/06/20,2,1.60,1.61,1.62,1.60,62405,10828,5.76,36.85%,05/04/20
SPY,283.57,Put,271.00,05/06/20,2,0.21,0.22,0.23,0.22,5364,937,5.72,39.89%,05/04/20
SDS,23.96,Put,23.00,05/08/20,4,0.19,0.22,0.24,0.22,2015,354,5.69,59.01%,05/04/20
GDX,33.99,Call,50.00,07/17/20,74,0.28,0.31,0.34,0.30,3807,675,5.64,56.48%,05/04/20
SPY,283.57,Put,277.00,05/06/20,2,0.90,0.91,0.92,0.92,9584,1705,5.62,38.53%,05/04/20
UCO,14.99,Call,14.00,05/15/20,11,2.15,2.28,2.41,2.15,1219,220,5.54,160.33%,05/04/20
SPY,283.57,Put,283.00,05/06/20,2,2.71,2.73,2.75,2.75,10515,1903,5.53,36.29%,05/04/20
SPY,283.57,Call,291.00,05/27/20,23,4.23,4.27,4.31,4.57,1065,193,5.52,26.55%,05/04/20
SPY,283.57,Call,290.00,05/06/20,2,0.35,0.36,0.36,0.36,19967,3744,5.33,26.57%,05/04/20
SPY,283.57,Call,282.00,05/08/20,4,4.43,4.46,4.48,4.45,13973,2633,5.31,30.38%,05/04/20
GDX,33.99,Call,37.00,08/21/20,109,2.76,2.8,2.83,2.79,1219,230,5.3,52.83%,05/04/20
SPY,283.57,Call,285.00,05/06/20,2,1.66,1.67,1.68,1.65,20739,3960,5.24,27.23%,05/04/20
FXI,37.62,Call,37.50,05/15/20,11,1.03,1.05,1.07,1.02,11502,2229,5.16,36.58%,05/04/20
IYR,73.25,Put,69.00,05/15/20,11,0.72,0.8,0.88,0.84,1525,302,5.05,48.66%,05/04/20
GLD,160.34,Put,140.00,06/18/21,410,5.75,6.1,6.45,6.32,4097,828,4.95,23.74%,05/04/20
SPY,283.57,Call,283.00,05/08/20,4,3.85,3.87,3.89,3.86,10293,2094,4.92,29.98%,05/04/20
IWM,125.68,Put,113.00,05/22/20,18,1.61,1.64,1.67,1.54,708,145,4.88,55.21%,05/04/20
SPY,283.57,Put,274.00,05/06/20,2,0.46,0.47,0.48,0.45,12244,2526,4.85,38.77%,05/04/20
GLD,160.34,Call,166.00,07/17/20,74,4.10,4.15,4.20,4.20,1035,215,4.81,22.15%,05/04/20
XLK,90.08,Put,88.00,05/08/20,4,0.75,0.92,1.08,0.80,6037,1256,4.81,44.06%,05/04/20
TLT,167.16,Put,162.50,05/08/20,4,0.11,0.2,0.29,0.26,1686,353,4.78,23.80%,05/04/20
GDX,33.99,Put,29.50,07/17/20,74,1.26,1.29,1.32,1.28,2708,569,4.76,53.46%,05/04/20
UNG,13.78,Put,11.00,06/19/20,46,0.28,0.32,0.36,0.33,2904,611,4.75,72.75%,05/04/20
SDS,23.96,Call,24.00,05/22/20,18,1.33,1.4,1.47,1.44,704,152,4.63,68.45%,05/04/20
IWM,125.68,Call,130.00,06/30/20,57,5.30,5.35,5.39,5.53,2536,553,4.59,36.70%,05/04/20
XLE,37.09,Put,35.00,06/30/20,57,2.30,2.46,2.62,2.53,600,131,4.58,61.91%,05/04/20
EEM,35.7,Call,37.50,05/22/20,18,0.27,0.35,0.42,0.33,5736,1261,4.55,29.94%,05/04/20
